support,itemsets
0.4014285714285714,"['S10', 'S33']"
0.32142857142857145,"['S34', 'S10']"
0.3514285714285714,"['S35', 'S10']"
0.4014285714285714,"['S36', 'S10']"
0.41,"['S37', 'S10']"
0.3871428571428571,"['S38', 'S10']"
0.44285714285714284,"['S39', 'S10']"
0.42142857142857143,"['S10', 'S40']"
0.41,"['S10', 'S41']"
0.4357142857142857,"['S42', 'S10']"
0.4228571428571429,"['S10', 'S43']"
0.39285714285714285,"['S44', 'S10']"
0.4042857142857143,"['S45', 'S10']"
0.4057142857142857,"['S46', 'S10']"
0.43857142857142856,"['S47', 'S10']"
0.40714285714285714,"['S10', 'S48']"
0.41714285714285715,"['S10', 'S49']"
0.4228571428571429,"['S50', 'S10']"
0.38285714285714284,"['S10', 'S51']"
0.41714285714285715,"['S52', 'S10']"
0.39,"['S53', 'S10']"
0.42,"['S54', 'S10']"
0.42,"['S10', 'S55']"
0.4342857142857143,"['S56', 'S10']"
0.41285714285714287,"['S57', 'S10']"
0.4342857142857143,"['S58', 'S10']"
0.33,"['S59', 'S10']"
0.45714285714285713,"['S11', 'S12']"
0.4328571428571429,"['S13', 'S11']"
0.43714285714285717,"['S14', 'S11']"
0.4185714285714286,"['S15', 'S11']"
0.30857142857142855,"['S11', 'S16']"
0.45714285714285713,"['S17', 'S11']"
0.45571428571428574,"['S18', 'S11']"
0.43857142857142856,"['S11', 'S21']"
0.4471428571428571,"['S22', 'S11']"
0.4142857142857143,"['S23', 'S11']"
0.4257142857142857,"['S24', 'S11']"
0.44142857142857145,"['S25', 'S11']"
0.3385714285714286,"['S11', 'S26']"
0.43714285714285717,"['S28', 'S11']"
0.31,"['S30', 'S11']"
0.40714285714285714,"['S31', 'S11']"
0.41285714285714287,"['S11', 'S32']"
0.39571428571428574,"['S11', 'S33']"
0.3457142857142857,"['S34', 'S11']"
0.35428571428571426,"['S35', 'S11']"
0.41285714285714287,"['S36', 'S11']"
0.4142857142857143,"['S11', 'S37']"
0.4357142857142857,"['S38', 'S11']"
0.4642857142857143,"['S39', 'S11']"
0.42142857142857143,"['S11', 'S40']"
0.42714285714285716,"['S11', 'S41']"
0.45285714285714285,"['S42', 'S11']"
0.4471428571428571,"['S11', 'S43']"
0.41285714285714287,"['S44', 'S11']"
0.40285714285714286,"['S45', 'S11']"
0.44857142857142857,"['S11', 'S46']"
0.4471428571428571,"['S47', 'S11']"
0.44,"['S11', 'S48']"
0.45571428571428574,"['S11', 'S49']"
0.43714285714285717,"['S50', 'S11']"
0.41714285714285715,"['S11', 'S51']"
0.44142857142857145,"['S52', 'S11']"
0.41714285714285715,"['S53', 'S11']"
0.4342857142857143,"['S54', 'S11']"
0.4185714285714286,"['S11', 'S55']"
0.45285714285714285,"['S56', 'S11']"
0.4442857142857143,"['S57', 'S11']"
0.47,"['S58', 'S11']"
0.3414285714285714,"['S59', 'S11']"
0.4328571428571429,"['S13', 'S12']"
0.41,"['S14', 'S12']"
0.4085714285714286,"['S15', 'S12']"
0.4342857142857143,"['S17', 'S12']"
0.42857142857142855,"['S18', 'S12']"
0.43142857142857144,"['S12', 'S21']"
0.43714285714285717,"['S22', 'S12']"
0.3985714285714286,"['S23', 'S12']"
0.41,"['S24', 'S12']"
0.43,"['S25', 'S12']"
0.33285714285714285,"['S12', 'S26']"
0.42714285714285716,"['S28', 'S12']"
0.40714285714285714,"['S31', 'S12']"
0.40714285714285714,"['S12', 'S32']"
0.3871428571428571,"['S12', 'S33']"
0.34285714285714286,"['S34', 'S12']"
0.34714285714285714,"['S35', 'S12']"
0.4085714285714286,"['S36', 'S12']"
0.43142857142857144,"['S12', 'S37']"
0.4085714285714286,"['S38', 'S12']"
0.4614285714285714,"['S39', 'S12']"
0.4185714285714286,"['S12', 'S40']"
0.4085714285714286,"['S12', 'S41']"
0.44857142857142857,"['S42', 'S12']"
0.43142857142857144,"['S12', 'S43']"
0.4157142857142857,"['S44', 'S12']"
0.39714285714285713,"['S45', 'S12']"
0.42142857142857143,"['S12', 'S46']"
0.4471428571428571,"['S47', 'S12']"
0.42428571428571427,"['S12', 'S48']"
0.4342857142857143,"['S12', 'S49']"
0.4257142857142857,"['S50', 'S12']"
0.4042857142857143,"['S12', 'S51']"
0.44857142857142857,"['S52', 'S12']"
0.38285714285714284,"['S53', 'S12']"
0.42857142857142855,"['S54', 'S12']"
0.4185714285714286,"['S12', 'S55']"
0.42428571428571427,"['S56', 'S12']"
0.4357142857142857,"['S57', 'S12']"
0.4657142857142857,"['S58', 'S12']"
0.33714285714285713,"['S59', 'S12']"
0.42142857142857143,"['S14', 'S13']"
0.4085714285714286,"['S13', 'S15']"
0.44571428571428573,"['S17', 'S13']"
0.4114285714285714,"['S13', 'S18']"
0.4328571428571429,"['S13', 'S21']"
0.4328571428571429,"['S22', 'S13']"
0.4114285714285714,"['S13', 'S23']"
0.43714285714285717,"['S13', 'S24']"
0.42,"['S13', 'S25']"
0.30714285714285716,"['S13', 'S26']"
0.43,"['S28', 'S13']"
0.39571428571428574,"['S31', 'S13']"
0.4085714285714286,"['S13', 'S32']"
0.4014285714285714,"['S13', 'S33']"
0.3314285714285714,"['S34', 'S13']"
0.3628571428571429,"['S35', 'S13']"
0.39571428571428574,"['S36', 'S13']"
0.42,"['S13', 'S37']"
0.40285714285714286,"['S13', 'S38']"
0.46,"['S39', 'S13']"
0.4,"['S13', 'S40']"
0.43,"['S13', 'S41']"
0.4514285714285714,"['S42', 'S13']"
0.43142857142857144,"['S13', 'S43']"
0.4257142857142857,"['S44', 'S13']"
0.4185714285714286,"['S45', 'S13']"
0.4228571428571429,"['S13', 'S46']"
0.43714285714285717,"['S47', 'S13']"
0.42,"['S13', 'S48']"
0.43714285714285717,"['S13', 'S49']"
0.43714285714285717,"['S50', 'S13']"
0.40285714285714286,"['S13', 'S51']"
0.42,"['S52', 'S13']"
0.41285714285714287,"['S53', 'S13']"
0.42428571428571427,"['S54', 'S13']"
0.42142857142857143,"['S13', 'S55']"
0.42142857142857143,"['S56', 'S13']"
0.4257142857142857,"['S57', 'S13']"
